,Country,Year,bitcoin_return,bitcoin_premium,Interest_Rate,Inflation,Real_Interest_Rate,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_Percent_of_GDP,Gov_Expenditure_Percent_of_GDP,Property_Rights,Economic_Freedom,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom,Stock_Market_Returns,Currency_Returns,Trading_Volume,Global_Volume,Percent_Global_Volume
103,Singapore,2018,-3.775504333,5.556779736,1.86,-0.5,2.36,0,22,17,13.6,17.7,98.4,88.8,90.9,92.6,85.2,90,85,80,-10.53960394,2.119150476,66445.671,66562087763,9.98E-05
104,Singapore,2019,6.612624197,-7.529353072,2.51,0.6,1.91,0.1,22,17,13.7,17.6,97.4,89.4,90.8,91,85.3,94.8,85,80,6.052874308,-1.315372811,43336.905,199888313632,2.17E-05
105,Singapore,2020,10.27980912,-2.31390885,1.06,0.4,0.66,0.1,22,17,14.1,17.2,96.8,89.4,92.8,90.9,85.6,94.8,85,80,-12.55196622,-1.872158215,17705.1401,5364487230960,3.30E-07
106,Singapore,2021,12.29587799,-4.34652485,0.76,0.6,0.16,0,22,17,13.1,14,97.5,89.7,93.8,91.5,85.4,95,85,80,9.261605455,2.189819894,3388.52764,17321689358183,1.96E-08
108,South Africa,2014,-7.118546652,7.561859083,5.75,5.7,0.05,4.5,40,28,27.3,32.1,50,62.5,74.5,54.4,75.3,76.1,55,60,6.827479887,11.66859644,8889.174,287702640,0.003089708874
109,South Africa,2015,1.699533842,4.327666003,6.25,5.8,0.45,4.2,40,28,25.8,32.6,50,62.6,73,61.6,74.9,76.6,50,60,2.373419456,34.41082019,62517.196,383432300,0.01630462431
110,South Africa,2016,7.177529344,2.274327739,7,6.1,0.9,4,40,28,24.7,31.7,50,61.9,69.7,58.7,74.6,77,45,60,2.710911607,-12.62005186,96273.12,1028608400,0.009359550243
111,South Africa,2017,29.37244321,-7.662150454,6.75,4.6,2.15,3.9,41,28,22.6,33.7,67.6,62.3,62,58.9,75.8,77.3,40,50,16.62858084,-8.684054762,185134.41,30386367280,0.0006092679928
112,South Africa,2018,-4.978910023,7.766345644,6.75,6.3,0.45,4.2,45,28,30.6,32.6,67.7,63,65.1,60.1,74.6,71.6,50,50,-11.70963491,16.29462431,185324.61,66562087763,0.0002784236736
113,South Africa,2019,7.39287726,-2.858570212,6.5,5.3,1.2,4.5,45,28,31.3,32.8,58.8,58.3,64.3,59.1,75.2,76,45,50,11.3530671,-2.197043863,169980.33,199888313632,8.50E-05
