Country,Year,Bitcoin_Premium,Bitcoin_Return,Stock_Market_Return,Currency_Return,Interest_Rate,Inflation,Real_Interest_Rate,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_%_of_GDP,Govt_Expenditure_%_of_GDP,Property_Rights,Economic_Freedom,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom,Trading_Volume,Percent_Global_Volume
Russia,2017,0.7301679117,0.587306706,-5.992305836,-4.594531205,7.75,15.5,-7.75,4.9,13,20,35.3,36.4,47.6,57.1,74.8,50.8,57.3,75.2,30,30,277250.152,0.005318634268
Russia,2018,0.7029671694,11.26961634,8.101593183,20.76173212,7.75,7,0.75,2.8,13,20,29.2,35.3,48.7,58.2,77,52,60.8,79.4,30,30,275745.7482,0.006310567409
Russia,2019,0.4727653556,-0.8374106485,10.37669251,-10.86014339,6.25,3.7,2.55,3.6,13,20,22.2,35.4,52.4,58.9,78.4,52.5,65.1,77.8,30,30,104271.1547,0.004798483898
Russia,2020,0.03581124693,0.01325470672,10.30141228,20.25283293,4.25,2.9,1.35,3.6,13,20,24.2,34.7,56.8,61,80.2,52.1,68.2,77.8,30,30,37082.60999,0.001760017332
Russia,2021,-0.1765657255,2.349689288,5.696848034,0.01274602907,8.50,4.5,4.00,5.5,13,20,11.4,33.6,54.4,61.5,84.1,55.4,67.3,74,30,30,3777.451206,0.0002157435558
Russia,2022,-0.3726262779,0.3923174572,8.619136501,-0.7600885782,7.50,3.4,4.10,5.5,13,20,11,35.3,36.8,56.1,62.5,57.3,68,69,30,30,1843.370343,0.0001230866049
Singapore,2014,-4.717494233,41.70066709,6.000661675,4.67634222,0.68,4.6,-3.92,0,20,17,13.8,17.1,90,89.4,96.8,96.5,81.5,90,85,80,230082.0637,0.01089783743
Singapore,2015,-5.230692402,-0.6458640074,-14.47402665,7.052694722,1.23,2.4,-1.17,0,20,17,14,14.4,90,89.4,96.9,96.9,83.7,90,85,80,424029.0872,0.01044714852
Singapore,2016,-8.248405451,-0.07148204944,1.579355195,2.238196424,0.96,1,-0.04,0,20,17,13.8,18.2,90,87.8,95,90.7,81.8,90,85,80,207503.2453,0.006154170233
Singapore,2017,-10.04292742,0.9209586165,17.38375893,-7.494863999,1.52,-0.5,2.02,0,22,17,13.4,20.3,97.1,88.6,95.1,90.8,84.3,90,85,80,21029.77235,0.0004034250914
